epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8212,2.08035,4.74679,1.91147,0.55738,0.02611,0.0709,0.02552,1.78021,3.60513,1.63702,0.000328283,0.000328283,0.000328283
2,41.4541,1.92442,3.64992,1.75758,0.51624,0.22119,0.09003,0.03554,2.03054,6.02935,1.93191,0.000641147,0.000641147,0.000641147
3,58.9594,1.92889,3.27479,1.77162,0.52298,0.19584,0.12811,0.05225,2.03661,3.4616,1.95396,0.000933387,0.000933387,0.000933387
4,76.7862,1.99371,2.98507,1.82184,0.49657,0.18345,0.06216,0.0322,2.33632,3.794,2.13794,0.000907188,0.000907188,0.000907188
5,94.5771,1.90607,2.64811,1.75125,0.40563,0.27229,0.18665,0.0943,2.03988,2.57451,1.841,0.00087625,0.00087625,0.00087625
6,112.082,1.80267,2.39896,1.65995,0.48326,0.24475,0.27252,0.13758,1.78148,2.26146,1.62258,0.000845313,0.000845313,0.000845313
7,129.489,1.75725,2.25678,1.63186,0.42227,0.38515,0.2957,0.1606,1.75731,2.23778,1.57465,0.000814375,0.000814375,0.000814375
8,147.529,1.70495,2.1079,1.5749,0.60923,0.37056,0.36248,0.18375,1.72927,2.01607,1.51459,0.000783438,0.000783438,0.000783438
9,165.446,1.67414,2.03884,1.55999,0.64894,0.35281,0.36708,0.19658,1.74966,2.05094,1.57448,0.0007525,0.0007525,0.0007525
10,184.153,1.65509,1.99705,1.55064,0.4695,0.43767,0.38393,0.20741,1.69344,1.89615,1.48933,0.000721562,0.000721562,0.000721562
11,201.826,1.6196,1.90161,1.51378,0.48445,0.50434,0.47889,0.2814,1.54744,1.7716,1.40944,0.000690625,0.000690625,0.000690625
12,220.669,1.61015,1.85482,1.50172,0.58864,0.50754,0.49216,0.2821,1.55708,1.71905,1.40694,0.000659688,0.000659688,0.000659688
13,238.15,1.55946,1.80984,1.4661,0.7007,0.47558,0.50454,0.30031,1.51154,1.70325,1.39322,0.00062875,0.00062875,0.00062875
14,256,1.55876,1.73843,1.4538,0.63148,0.48441,0.53506,0.30936,1.48205,1.64855,1.3506,0.000597812,0.000597812,0.000597812
15,273.565,1.52788,1.72674,1.44113,0.60125,0.50237,0.51849,0.31225,1.52038,1.626,1.39532,0.000566875,0.000566875,0.000566875
16,290.891,1.50486,1.65801,1.41916,0.69178,0.50281,0.52443,0.31581,1.46868,1.5947,1.33657,0.000535937,0.000535937,0.000535937
17,309.416,1.4796,1.62638,1.41197,0.58263,0.55151,0.54761,0.33501,1.46325,1.57467,1.32389,0.000505,0.000505,0.000505
18,328.413,1.47247,1.58116,1.41994,0.54611,0.56576,0.57915,0.3382,1.45151,1.5761,1.33169,0.000474062,0.000474062,0.000474062
19,346.899,1.42789,1.52396,1.37651,0.69395,0.50663,0.55284,0.33657,1.45547,1.52995,1.32283,0.000443125,0.000443125,0.000443125
20,364.836,1.40614,1.47244,1.35174,0.64951,0.54919,0.59446,0.35468,1.43345,1.43863,1.3055,0.000412188,0.000412188,0.000412188
21,384.013,1.39975,1.43091,1.35882,0.63611,0.61134,0.63139,0.38193,1.38327,1.3516,1.28656,0.00038125,0.00038125,0.00038125
22,402.174,1.37812,1.40315,1.33912,0.62115,0.61652,0.64051,0.40183,1.38458,1.37899,1.28512,0.000350313,0.000350313,0.000350313
23,425.425,1.3537,1.39363,1.32776,0.69555,0.52498,0.60475,0.37592,1.41113,1.41232,1.28739,0.000319375,0.000319375,0.000319375
24,443.642,1.33702,1.33367,1.31406,0.71636,0.56679,0.64887,0.41544,1.3524,1.35594,1.26657,0.000288438,0.000288438,0.000288438
25,462.604,1.31914,1.33405,1.29792,0.59889,0.67074,0.66818,0.41559,1.35911,1.29068,1.2563,0.0002575,0.0002575,0.0002575
26,481.383,1.31045,1.29613,1.28958,0.64527,0.66802,0.66342,0.39481,1.39058,1.31466,1.25608,0.000226563,0.000226563,0.000226563
27,499.836,1.28107,1.25823,1.27401,0.68096,0.65456,0.68397,0.40974,1.33428,1.24405,1.23806,0.000195625,0.000195625,0.000195625
28,518.667,1.25225,1.19695,1.26423,0.66636,0.67991,0.68573,0.42845,1.3284,1.24524,1.22969,0.000164688,0.000164688,0.000164688
29,536.386,1.25622,1.18348,1.25556,0.6577,0.66317,0.68463,0.42446,1.36299,1.21167,1.24412,0.00013375,0.00013375,0.00013375
30,554.098,1.21458,1.1543,1.24265,0.65355,0.70536,0.70953,0.45311,1.32203,1.19502,1.22337,0.000102812,0.000102812,0.000102812
31,572.113,1.21018,1.14232,1.23239,0.72975,0.65278,0.70966,0.44552,1.30746,1.18359,1.21409,7.1875e-05,7.1875e-05,7.1875e-05
32,590.402,1.20234,1.12275,1.22869,0.79631,0.6207,0.71919,0.45011,1.315,1.17152,1.2176,4.09375e-05,4.09375e-05,4.09375e-05
